quote_date,underlying_last,expire_date,dte,c_last,strike,p_last
2021-01-04,129.45,2021-01-29,25.0,0.79,150.0,18.37
2021-01-04,129.45,2021-01-29,25.0,0.51,155.0,24.6
2021-01-04,129.45,2021-01-29,25.0,0.32,160.0,27.9
2021-01-04,129.45,2021-01-29,25.0,0.24,165.0,32.95
2021-01-04,129.45,2021-01-29,25.0,0.18,170.0,34.29
2021-01-04,129.45,2021-01-29,25.0,0.13,175.0,38.45
2021-01-04,129.45,2021-01-29,25.0,0.12,180.0,0.0
2021-01-04,129.45,2021-01-29,25.0,0.07,185.0,0.0
2021-01-04,129.45,2021-01-29,25.0,0.08,190.0,0.0
2021-01-04,129.45,2021-01-29,25.0,0.06,195.0,0.0
2021-01-04,129.45,2021-01-29,25.0,0.06,200.0,0.0
2021-01-05,130.95,2021-01-08,3.0,66.85,65.0,0.01
2021-01-05,130.95,2021-01-08,3.0,60.4,70.0,0.01
2021-01-05,130.95,2021-01-08,3.0,54.15,75.0,0.02
2021-01-05,130.95,2021-01-08,3.0,51.12,80.0,0.01
2021-01-05,130.95,2021-01-08,3.0,46.2,85.0,0.01
2021-01-05,130.95,2021-01-08,3.0,40.6,90.0,0.01
2021-01-05,130.95,2021-01-08,3.0,35.45,95.0,0.01
2021-01-05,130.95,2021-01-08,3.0,30.05,100.0,0.01
2021-01-05,130.95,2021-01-08,3.0,30.25,101.0,0.01
2021-01-05,130.95,2021-01-08,3.0,28.22,102.0,0.01
2021-01-05,130.95,2021-01-08,3.0,26.2,103.0,0.02
2021-01-05,130.95,2021-01-08,3.0,27.08,104.0,0.03
2021-01-05,130.95,2021-01-08,3.0,24.15,105.0,0.03
2021-01-05,130.95,2021-01-08,3.0,24.3,106.0,0.03
2021-01-05,130.95,2021-01-08,3.0,25.68,107.0,0.03
2021-01-05,130.95,2021-01-08,3.0,23.4,108.0,0.03
2021-01-05,130.95,2021-01-08,3.0,22.1,109.0,0.04
2021-01-05,130.95,2021-01-08,3.0,21.01,110.0,0.04
2021-01-05,130.95,2021-01-08,3.0,20.05,111.0,0.05
2021-01-05,130.95,2021-01-08,3.0,21.28,112.0,0.05
2021-01-05,130.95,2021-01-08,3.0,17.48,113.0,0.07
2021-01-05,130.95,2021-01-08,3.0,17.2,114.0,0.07
2021-01-05,130.95,2021-01-08,3.0,15.16,115.0,0.08
2021-01-05,130.95,2021-01-08,3.0,15.35,116.0,0.08
2021-01-05,130.95,2021-01-08,3.0,14.17,117.0,0.08
2021-01-05,130.95,2021-01-08,3.0,13.55,118.0,0.13
2021-01-05,130.95,2021-01-08,3.0,12.35,119.0,0.12
2021-01-05,130.95,2021-01-08,3.0,11.06,120.0,0.14
2021-01-05,130.95,2021-01-08,3.0,10.25,121.0,0.16
2021-01-05,130.95,2021-01-08,3.0,9.1,122.0,0.2
2021-01-05,130.95,2021-01-08,3.0,8.3,123.0,0.24
2021-01-05,130.95,2021-01-08,3.0,7.2,124.0,0.29
2021-01-05,130.95,2021-01-08,3.0,6.35,125.0,0.39
2021-01-05,130.95,2021-01-08,3.0,5.45,126.0,0.5
2021-01-05,130.95,2021-01-08,3.0,4.62,127.0,0.65
2021-01-05,130.95,2021-01-08,3.0,3.77,128.0,0.86
2021-01-05,130.95,2021-01-08,3.0,3.07,129.0,1.16
2021-01-05,130.95,2021-01-08,3.0,2.5,130.0,1.51
2021-01-05,130.95,2021-01-08,3.0,1.91,131.0,1.98
2021-01-05,130.95,2021-01-08,3.0,1.45,132.0,2.54
2021-01-05,130.95,2021-01-08,3.0,1.07,133.0,2.99
2021-01-05,130.95,2021-01-08,3.0,0.76,134.0,3.73
2021-01-05,130.95,2021-01-08,3.0,0.54,135.0,4.57
2021-01-05,130.95,2021-01-08,3.0,0.38,136.0,5.45
2021-01-05,130.95,2021-01-08,3.0,0.26,137.0,6.2
2021-01-05,130.95,2021-01-08,3.0,0.19,138.0,7.25
2021-01-05,130.95,2021-01-08,3.0,0.13,139.0,7.95
2021-01-05,130.95,2021-01-08,3.0,0.1,140.0,8.95
2021-01-05,130.95,2021-01-08,3.0,0.07,141.0,10.99
2021-01-05,130.95,2021-01-08,3.0,0.06,142.0,11.13
2021-01-05,130.95,2021-01-08,3.0,0.04,143.0,13.06
2021-01-05,130.95,2021-01-08,3.0,0.03,144.0,15.4
2021-01-05,130.95,2021-01-08,3.0,0.02,145.0,13.92
2021-01-05,130.95,2021-01-08,3.0,0.01,146.0,16.05
2021-01-05,130.95,2021-01-08,3.0,0.02,147.0,18.15
2021-01-05,130.95,2021-01-08,3.0,0.01,148.0,18.5
2021-01-05,130.95,2021-01-08,3.0,0.02,149.0,19.55
